REG,RATING,DATE,ORDER
1870753,96,02/09/2014,2
1870753,87,24/08/2014,3
1870753,69,06/07/2010,4
1870753,56,07/03/2009,5
1870753,75,08/06/2008,6
1870753,78,17/06/2004,7
1870753,53,03/06/2003,8
1870753,63,19/06/2002,9
1870753,53,10/06/2002,10
1870753,28,08/12/2001,11
1870753,28,10/09/2001,12
1870753,28,07/09/2001,13
1870753,28,30/08/2001,14
1870753,28,02/08/2001,15
1870753,28,18/07/2001,16
2005811,80,02/08/2017,1
2005811,-34,07/10/2015,2
2005811,80,02/10/2015,3
2005811,-18,01/10/2015,4
2005811,80,05/10/2014,5
2005811,96,02/09/2014,6
2005811,87,24/08/2014,7
2005811,46,25/09/2012,8
2005811,53,10/10/2011,9
2005811,-18,07/10/2011,10
2005811,6,05/10/2011,11
2005811,-18,01/10/2011,12
2005811,6,17/09/2011,13
2005811,53,16/09/2009,14
2005811,3,15/09/2009,15
2005811,34,07/03/2009,16
2005811,73,02/11/2008,17
2005811,78,10/10/2006,18
2005811,83,16/11/2005,19
2005811,90,12/06/2004,20
2005811,80,02/04/2004,21
2005811,45,14/11/2003,22
2005811,55,12/03/2003,23
2005811,50,08/12/2001,24
2005811,50,15/11/2001,25
2005811,55,03/11/2001,26
2005811,55,07/09/2001,27
2005811,55,18/07/2001,28
2505293,42,30/09/2017,1
2505293,41,29/03/2017,2
2505293,42,28/03/2017,3
2505293,-19,02/03/2017,4
2505293,-18,27/12/2016,5
2505293,42,07/10/2016,6
2505293,-18,01/10/2016,7
2505293,42,30/09/2014,8
2505293,45,02/09/2014,9
2505293,40,24/08/2014,10
2505293,38,24/09/2013,11
2505293,43,31/08/2013,12
2505293,44,29/05/2013,13
2505293,46,03/09/2012,14
2505293,38,30/06/2012,15
2505293,10,28/06/2012,16
2505293,9,27/09/2011,17
2505293,25,07/03/2011,18
2505293,3,19/02/2011,19
2505293,25,24/11/2010,20
2505293,26,28/05/2010,21
2505293,-18,06/03/2010,22
2505293,2,20/02/2010,23
2505293,18,06/02/2010,24
2505293,17,04/06/2009,25
2505293,-18,01/06/2009,26
2505293,2,20/02/2009,27
2505293,0,19/06/2003,28
2505293,-18,13/06/2003,29
2505293,0,08/12/2001,30
2505293,0,07/12/2001,31
2505293,0,29/11/2001,32
2505293,0,08/09/2001,33
2505293,0,18/07/2001,34
2668478,96,27/09/2017,1
2668478,87,30/03/2017,2
2668478,63,14/11/2016,3
2668478,87,17/06/2016,4
2668478,80,19/09/2015,5
2668478,-34,19/10/2008,6
2668478,83,17/11/2006,7
2668478,100,18/07/2005,8
2668478,68,14/06/2005,9
2668478,38,01/10/2004,10
2668478,55,10/06/2003,11
2668478,82,04/06/2003,12
2668478,82,17/12/2002,13
2668478,80,21/01/2002,14
2668478,70,08/12/2001,15
2668478,70,25/09/2001,16
2668478,70,08/09/2001,17
2668478,70,07/09/2001,18
2668478,70,18/07/2001,19
3301472,53,17/11/2017,1
3301472,70,10/12/2015,2
3301472,77,02/09/2014,3
3301472,73,24/08/2014,4
3301472,70,21/06/2014,5
3301472,55,10/03/2014,6
3301472,54,07/03/2014,7
3301472,57,22/08/2013,8
3301472,51,17/05/2013,9
3301472,65,15/05/2013,10
3301472,68,18/01/2013,11
3301472,72,02/07/2012,12
3301472,57,29/06/2012,13
3301472,52,18/01/2012,14
3301472,55,18/07/2011,15
3301472,62,19/10/2010,16
3301472,76,19/02/2010,17
3301472,75,14/08/2009,18
3301472,65,11/05/2009,19
3301472,66,20/02/2009,20
3301472,83,10/08/2007,21
3301472,81,27/11/2006,22
3301472,78,15/09/2005,23
3301472,81,16/12/2004,24
3301472,76,17/06/2004,25
3301472,61,02/12/2003,26
3301472,56,12/09/2002,27
3301472,68,03/09/2002,28
3301472,66,15/01/2002,29
3301472,61,09/12/2001,30
3301472,61,08/09/2001,31
3301472,61,18/07/2001,32
3631489,29,08/05/2018,1
3631489,35,02/12/2017,2
3631489,24,22/06/2017,3
3631489,33,10/12/2016,4
3631489,26,23/12/2015,5
3631489,24,02/09/2014,6
3631489,30,24/08/2014,7
3631489,38,04/01/2014,8
3631489,21,01/01/2014,9
3631489,6,21/12/2013,10
3631489,21,15/11/2012,11
3631489,63,19/09/2012,12
3631489,62,20/12/2011,13
3631489,57,19/12/2011,14
3631489,31,17/12/2011,15
3631489,57,06/12/2010,16
3631489,21,21/12/2009,17
3631489,6,18/12/2009,18
3631489,50,20/02/2009,19
3631489,58,09/11/2008,20
3631489,81,25/10/2006,21
3631489,71,22/09/2006,22
3631489,81,08/10/2004,23
3631489,76,17/06/2004,24
3631489,61,12/06/2004,25
3631489,74,04/04/2002,26
3631489,68,19/01/2002,27
3631489,63,10/12/2001,28
3631489,63,20/11/2001,29
3631489,63,31/10/2001,30
3631489,63,08/09/2001,31
3631489,63,18/07/2001,32
3660814,10,14/02/2018,1
3660814,12,05/02/2018,2
3660814,18,05/02/2018,3
3660814,-18,01/02/2018,4
3660814,18,26/12/2017,5
3660814,15,04/02/2017,6
3660814,21,02/02/2017,7
3660814,-18,01/02/2017,8
3660814,21,12/02/2016,9
3660814,18,10/02/2016,10
3660814,-18,01/02/2016,11
3660814,18,20/03/2015,12
3660814,12,23/12/2014,13
3660814,14,23/12/2014,14
3660814,13,02/09/2014,15
3660814,11,24/08/2014,16
3660814,32,12/09/2013,17
3660814,23,29/01/2013,18
3660814,6,19/01/2013,19
3660814,23,24/03/2012,20
3660814,39,22/02/2012,21
3660814,38,12/12/2011,22
3660814,45,08/02/2010,23
3660814,-18,03/02/2010,24
3660814,4,30/01/2010,25
3660814,37,18/11/2009,26
3660814,38,08/03/2009,27
3660814,0,16/03/2007,28
3660814,41,22/11/2006,29
3660814,31,07/05/2006,30
3660814,41,11/03/2005,31
3660814,63,12/06/2004,32
3660814,61,04/06/2003,33
3660814,39,06/11/2002,34
3660814,33,08/01/2002,35
3660814,-17,02/01/2002,36
3660814,-3,11/12/2001,37
3660814,-3,10/12/2001,38
3660814,-3,29/11/2001,39
3660814,-3,08/09/2001,40
3660814,-3,18/07/2001,41
3859201,30,18/08/2015,1
3859201,26,01/05/2015,2
3859201,30,16/03/2015,3
3859201,26,04/03/2015,4
3859201,30,02/09/2014,5
3859201,38,24/08/2014,6
3859201,54,16/04/2013,7
3859201,62,20/04/2012,8
3859201,61,13/04/2010,9
3859201,54,23/10/2009,10
3859201,51,19/06/2009,11
3859201,54,13/03/2009,12
3859201,61,08/03/2009,13
3859201,46,05/08/2008,14
3859201,40,11/06/2008,15
3859201,46,05/06/2008,16
3859201,43,12/07/2007,17
3859201,58,06/07/2006,18
3859201,68,06/05/2005,19
3859201,66,28/07/2004,20
3859201,76,17/06/2004,21
3859201,56,15/04/2003,22
3859201,70,26/03/2003,23
3859201,55,30/01/2002,24
3859201,50,16/12/2001,25
3859201,50,11/12/2001,26
3859201,50,29/11/2001,27
3859201,50,04/11/2001,28
3859201,50,31/10/2001,29
3859201,50,16/10/2001,30
3859201,50,12/10/2001,31
3859201,50,17/09/2001,32
3859201,50,11/09/2001,33
3859201,50,09/09/2001,34
3859201,50,05/08/2001,35
3859201,50,18/07/2001,36
3891648,49,04/11/2017,1
3891648,46,12/09/2017,2
3891648,66,01/04/2017,3
3891648,67,05/12/2015,4
3891648,69,26/11/2014,5
3891648,66,02/09/2014,6
3891648,50,24/08/2014,7
3891648,53,06/11/2013,8
3891648,61,23/10/2012,9
3891648,44,19/10/2012,10
3891648,43,09/01/2012,11
3891648,42,11/09/2009,12
3891648,50,20/02/2009,13
3891648,56,15/08/2008,14
3891648,66,31/07/2007,15
3891648,68,23/10/2006,16
3891648,58,07/05/2006,17
3891648,68,12/10/2005,18
3891648,81,06/09/2005,19
3891648,79,01/10/2004,20
3891648,96,22/07/2003,21
3891648,73,13/06/2003,22
3891648,67,04/06/2003,23
3891648,45,07/06/2002,24
3891648,0,11/12/2001,25
3891648,0,09/09/2001,26
3891648,-17,18/07/2001,27
3976447,96,30/12/2017,1
3976447,96,02/09/2014,2
3976447,87,24/08/2014,3
3976447,58,09/01/2014,4
3976447,59,17/05/2013,5
3976447,58,16/01/2013,6
3976447,51,04/10/2011,7
3976447,39,19/11/2010,8
3976447,40,13/04/2010,9
3976447,-18,03/04/2010,10
3976447,6,20/03/2010,11
3976447,50,08/03/2009,12
3976447,73,26/10/2008,13
3976447,81,03/04/2007,14
3976447,73,14/05/2006,15
3976447,81,10/01/2006,16
3976447,79,12/06/2004,17
3976447,96,04/06/2003,18
3976447,63,22/01/2003,19
3976447,40,13/02/2002,20
3976447,-17,11/12/2001,21
3976447,-4,09/09/2001,22
3976447,-4,18/07/2001,23
4025368,96,17/05/2017,1
4025368,87,05/10/2015,2
4025368,-18,01/10/2015,3
4025368,87,20/10/2014,4
4025368,79,02/09/2014,5
4025368,71,24/08/2014,6
4025368,65,03/07/2014,7
4025368,64,02/10/2013,8
4025368,65,16/07/2013,9
4025368,47,03/07/2013,10
4025368,28,28/12/2012,11
4025368,25,24/12/2012,12
4025368,-18,02/10/2012,13
4025368,7,22/09/2012,14
4025368,25,14/09/2011,15
4025368,21,06/11/2010,16
4025368,-18,02/10/2010,17
4025368,1,18/09/2010,18
4025368,5,04/09/2010,19
4025368,11,14/12/2009,20
4025368,-18,14/11/2009,21
4025368,5,28/09/2009,22
4025368,47,20/02/2009,23
4025368,0,07/11/2008,24
4025368,43,07/11/2007,25
4025368,63,21/09/2006,26
4025368,86,09/01/2006,27
4025368,84,22/09/2005,28
4025368,81,09/09/2004,29
4025368,51,12/06/2004,30
4025368,61,03/11/2003,31
4025368,0,29/05/2002,32
4025368,-17,14/02/2002,33
4025368,-4,16/12/2001,34
4025368,-4,11/12/2001,35
4025368,-4,20/09/2001,36
4025368,-4,09/09/2001,37
4025368,-4,07/08/2001,38
4025368,-4,02/08/2001,39
4025368,-4,18/07/2001,40
4272175,-34,07/04/2014,1
4272175,-3,04/04/2014,2
4272175,25,20/05/2013,3
4272175,68,08/11/2011,4
4272175,42,07/11/2011,5
4272175,-18,04/06/2011,6
4272175,4,21/05/2011,7
4272175,42,22/09/2010,8
4272175,36,17/09/2010,9
4272175,42,09/11/2009,10
4272175,59,09/03/2009,11
4272175,71,15/11/2007,12
4272175,76,23/02/2007,13
4272175,74,22/11/2006,14
4272175,69,14/09/2006,15
4272175,-5,30/06/2004,16
4272175,55,22/06/2004,17
4272175,72,16/06/2004,18
4272175,62,12/06/2004,19
4272175,-5,05/11/2002,20
4272175,-4,12/12/2001,21
4272175,-4,09/09/2001,22
4272175,-9,30/08/2001,23
4382614,-34,31/05/2017,1
4382614,-19,25/05/2017,2
4382614,-34,21/05/2009,3
4382614,-3,26/11/2008,4
4382614,-34,09/01/2008,5
4382614,-3,02/10/2003,6
4382614,-5,11/04/2003,7
4382614,-4,05/03/2002,8
4382614,-9,04/03/2002,9
4869161,-34,04/11/2015,1
4869161,-5,29/10/2009,2
4869161,-30,26/08/2008,3
4869161,-18,22/08/2008,4
4869161,0,30/06/2005,5
